label,text
0,my supervisor find 4 me one lor i thk his students. i havent ask her yet. tell u aft i ask her.
0,"ta-daaaaa! i am home babe, are you still up ?"
0,"den only weekdays got special price... haiz... cant eat liao... cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat..."
0,okie
0,from tomorrow onwards eve 6 to 3 work.
1,ur going 2 bahamas! callfreefone 08081560665 and speak to a live operator to claim either bahamas cruise of£2000 cash 18+only. to opt out txt x to 07786200117
0,can a not?
0,"i am real, baby! i want to bring out your inner tigress..."
0,hi its kate how is your evening? i hope i can see you tomorrow for a bit but i have to bloody babyjontet! txt back if u can. :) xxx
0,do u noe wat time e place dat sells 4d closes?
0,lara said she can loan me  &lt;#&gt; .
1,"hello from orange. for 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply yes. terms apply: www.orange.co.uk/ow"
1,"shop till u drop, is it you, either 10k, 5k, £500 cash or £100 travel voucher, call now, 09064011000. ntt po box cr01327bt fixedline cost 150ppm mobile vary"
0,becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer
0,"sorry, i'll call later"
0,do ü noe if ben is going?
0,"could you not read me, my love ? i answered you"
0,hello! good week? fancy a drink or something later?
0,have a great trip to india. and bring the light to everyone not just with the project but with everyone that is lucky to see you smile. bye. abiola
0,"v-aluable. a-ffectionate. l-oveable. e-ternal. n-oble. t-ruthful. i-ntimate. n-atural. e-namous. happy ""valentines day"" in advance"
0,sure! i am driving but will reach my destination soon.
0,"me not waking up until 4 in the afternoon, sup"
0,true dear..i sat to pray evening and felt so.so i sms'd you in some time...
0,don no da:)whats you plan?
0,i'm serious. you are in the money base
0,"i'm back, lemme know when you're ready"
0,mode men or have you left.
0,"gosh that , what a pain. spose i better come then."
1,warner village 83118 c colin farrell in swat this wkend @warner village & get 1 free med. popcorn!just show msg+ticket@kiosk.valid 4-7/12. c t&c @kiosk. reply sony 4 mre film offers
1,"january male sale! hot gay chat now cheaper, call 08709222922. national rate from 1.5p/min cheap to 7.8p/min peak! to stop texts call 08712460324 (10p/min)"
1,please call our customer service representative on freephone 0808 145 4742 between 9am-11pm as you have won a guaranteed £1000 cash or £5000 prize!
0,i've told him that i've returned it. that should i re order it.
0,"no shit, but i wasn't that surprised, so i went and spent the evening with that french guy i met in town here and we fooled around a bit but i didn't let him fuck me"
0,i'm turning off my phone. my moms telling everyone i have cancer. and my sister won't stop calling. it hurts to talk. can't put up with it. see u when u get home. love u
1,"you are being contacted by our dating service by someone you know! to find out who it is, call from a land line 09050000928. pobox45w2tg150p"
0,uncle boye. i need movies oh. guide me. plus you know torrents are not particularly legal here. and the system is slowing down. what should i do. have a gr8 day. plus have you started cos i dont meet you online. how was the honey moon.
0,i cant wait for cornwall. hope tonight isnt too bad as well but its rock night shite. anyway im going for a kip now have a good night. speak to you soon.
0,i cant pick the phone right now. pls send a message
0,stupid.its not possible
0,my computer just fried the only essential part we don't keep spares of because my fucking idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7
0,"awesome, plan to get here any time after like  &lt;#&gt; , i'll text you details in a wee bit"
0,"sometimes we put walls around our hearts,not just to be safe from getting hurt.. but to find out who cares enough to break the walls &amp; get closer.. goodnoon:)"
0,"the lay man! just to let you know you are missed and thought off. do have a great day. and if you can send me bimbo and ugo's numbers, ill appreciate. safe"
0,nooooooo i'm gonna be bored to death all day. cable and internet outage.
1,dear u've been invited to xchat. this is our final attempt to contact u! txt chat to 86688
0,am on a train back from northampton so i'm afraid not! i'm staying skyving off today ho ho! will be around wednesday though. do you fancy the comedy club this week by the way?
0,pls she needs to dat slowly or she will vomit more.
1,had your mobile 11mths ? update for free to oranges latest colour camera mobiles & unlimited weekend calls. call mobile upd8 on freefone 08000839402 or 2stoptxt
0,whatsup there. dont u want to sleep
0,"how are you, my love ? are you with your brother ? time to talk english with him ? *grins* say : hey muhommad, penny says hello from across the sea"
1,fancy a shag? i do.interested? sextextuk.com txt xxuk suzy to 69876. txts cost 1.50 per msg. tncs on website. x
0,my love ... i hope your not doing anything drastic. don't you dare sell your pc or your phone ...
1,"oh my god! i've found your number again! i'm so glad, text me back xafter this msgs cst std ntwk chg £1.50"
1,this message is brought to you by gmw ltd. and is not connected to the
0,no. thank you. you've been wonderful
0,please give it 2  or i will pick it up on tuesday evening about 8 if that is ok.
0,shall i come to get pickle
1,hello. we need some posh birds and chaps to user trial prods for champneys. can i put you down? i need your address and dob asap. ta r
0,where in abj are you serving. are you staying with dad or alone.
0,i'm in a movie. call me 4 wat?
0,once free call me sir.
0,"al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? hav 2go, thanx.xx"
0,ya even those cookies have jelly on them
0,hey company elama po mudyadhu.
0,"wa, ur openin sentence very formal... anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...haha... so anythin special happened?"
0,i sent you  &lt;#&gt;  bucks
0,wat makes u thk i'll fall down. but actually i thk i'm quite prone 2 falls. lucky my dad at home i ask him come n fetch me already.
0,"moon has come to color your dreams, stars to make them musical and my sms to give you warm and peaceful sleep. good night"
0,"found it, enc  &lt;#&gt; , where you at?"
0,havent mus ask if u can 1st wat. of meet 4 lunch den u n him meet can already lor. or u wan 2 go ask da ge 1st then confirm w me asap?
0,"especially since i talk about boston all up in my personal statement, lol! i woulda changed that if i had realized it said nyc! it says boston now."
0,his bday real is in april .
0,the basket's gettin full so i might be by tonight
0,i dunno they close oredi not... ü v ma fan...
0,"a bit of ur smile is my hppnss, a drop of ur tear is my sorrow, a part of ur heart is my life, a heart like mine wil care for u, forevr as my goodfriend"
0,hey morning what you come to ask:-) pa...
0,aiyah ok wat as long as got improve can already wat...
0,u studying in sch or going home? anyway i'll b going 2 sch later.
0,o we cant see if we can join denis and mina? or does denis want alone time
0,yes i think so. i am in office but my lap is in room i think thats on for the last few days. i didnt shut that down
1,no 1 polyphonic tone 4 ur mob every week! just txt pt2 to 87575. 1st tone free ! so get txtin now and tell ur friends. 150p/tone. 16 reply hl 4info
0,mm not entirely sure i understood that text but hey. ho. which weekend?
1,xmas prize draws! we are trying to contact u. todays draw shows that you have won a £2000 prize guaranteed. call 09058094565 from land line. valid 12hrs only
1,8007 25p 4 alfie moon's children in need song on ur mob. tell ur m8s. txt tone charity to 8007 for nokias or poly charity for polys :zed 08701417012 profit 2 charity
0,i'm in class. will holla later
0,are you still playing with gautham?
0,"sorry, i'll call later"
0,oh yeah clearly it's my fault
0,how will i creep on you now? ;_;
0,today is accept day..u accept me as? brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy
0,spoons it is then okay?
0,s but not able to sleep.
1,"wan2 win a meet+greet with westlife 4 u or a m8? they are currently on what tour? 1)unbreakable, 2)untamed, 3)unkempt. text 1,2 or 3 to 83049. cost 50p +std text"
0,"it'll be tough, but i'll do what i have to"
0,cant think of anyone with * spare room off * top of my head
0,ok lor...
0,but pls dont play in others life.
0,"haha awesome, i might need to take you up on that, what you doin tonight?"
1,please call our customer service representative on 0800 169 6031 between 10am-9pm as you have won a guaranteed £1000 cash or £5000 prize!
1,reply to win £100 weekly! where will the 2006 fifa world cup be held? send stop to 87239 to end service
0,"the sign of maturity is not when we start saying big things.. but actually it is, when we start understanding small things... *have a nice evening* bslvyl"
0,"sorry, i'll call later"
0,"lol, oh you got a friend for the dog ?"
0,"i've not called you in a while. this is hoping it was l8r malaria and that you know that we miss you guys. i miss bani big, so pls give her my love especially. have a great day."
0,hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love kate
0,i will see in half an hour
0,"not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u.."
0,are u awake? is there snow there?
0,"save yourself the stress. if the person has a dorm account, just send your account details and the money will be sent to you."
1,ur tonexs subscription has been renewed and you have been charged £4.50. you can choose 10 more polys this month. www.clubzed.co.uk *billing msg*
0,k..give back my thanks.
0,go chase after her and run her over while she's crossing the street
0,pls call me da. what happen.
0,eh ur laptop got no stock lei... he say mon muz come again to take a look c got a not...
0,"that would be good … i'll phone you tomo lunchtime, shall i, to organise something?"
0,so ü pay first lar... then when is da stock comin...
0,hi darlin ive just got back and i had a really nice night and thanks so much for the lift see u tomorrow xxx
0,err... cud do. i'm going to  at 8pm. i haven't got a way to contact him until then.
0,howz that persons story
0,ok how you dear. did you call chechi
0,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
0,"good friends care for each other.. close friends understand each other... and true friends stay forever beyond words, beyond time. gud ni8"
0,"i got arrested for possession at, i shit you not,  &lt;time&gt;  pm"
0,that's a shame! maybe cld meet for few hrs tomo?
0,call me when u're done...
0,weightloss! no more girl friends. make loads of money on ebay or something. and give thanks to god.
0,as per your request 'maangalyam (alaipayuthe)' has been set as your callertune for all callers. press *9 to copy your friends callertune
1,"got what it takes 2 take part in the wrc rally in oz? u can with lucozade energy! text rally le to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
0,"no! but we found a diff farm shop to buy some cheese. on way back now, can i call in?"
0,… and don‘t worry we‘ll have finished by march … ish!
0,you said to me before i went back to bed that you can't sleep for anything.
1,"this weeks savamob member offers are now accessible. just call 08709501522 for details! savamob, pobox 139, la3 2wu. only £1.50/week. savamob - offers mobile!"
0,i donno its in your genes or something
0,good night my dear.. sleepwell&amp;take care
0,one small prestige problem now.
1,"orange customer, you may now claim your free camera phone upgrade for your loyalty. call now on 0207 153 9996. offer ends 14thmarch. t&c's apply. opt-out availa"
0,i like to think there's always the possibility of being in a pub later.
0,don know..wait i will check it.
0,"1.20 that call cost. which i guess isnt bad. miss ya, need ya, want ya, love ya"
0,have you seen who's back at holby?!
0,full heat pa:-) i have applyed oil pa.
0,"sorry brah, just finished the last of my exams, what up"
0,"aight text me when you're back at mu and i'll swing by, need somebody to get the door for me"
0,or ill be a little closer like at the bus stop on the same street
1,themob>yo yo yo-here comes a new selection of hot downloads for our members to get for free! just click & open the next link sent to ur fone...
1,"new tones this week include: 1)mcfly-all ab.., 2) sara jorge-shock.. 3) will smith-switch.. to order follow instructions on next message"
0,erutupalam thandiyachu
1,2/2 146tf150p
1,"orange brings you ringtones from all time chart heroes, with a free hit each week! go to ringtones & pics on wap. to stop receiving these tips reply stop."
0,"shit that is really shocking and scary, cant imagine for a second. def up for night out. do u think there is somewhere i could crash for night, save on taxi?"
1,you have 1 new voicemail. please call 08719181503
1,"1000's flirting now! txt girl or bloke & ur name & age, eg girl zoe 18 to 8007 to join and get chatting!"
0,k i'll be sure to get up before noon and see what's what
0,u horrible gal... u knew dat i was going out wif him yest n u still come n ask me...
0,"i shall book chez jules for half eight, if that's ok with you?"
0,dear i am not denying your words please
0,"plz note: if anyone calling from a mobile co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . do not do so. disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. itz confirmd by nokia n motorola n has been verified by cnn ibn."
0,so i asked how's anthony. dad. and your bf
0,ü predict wat time ü'll finish buying?
0,hi its kate it was lovely to see you tonight and ill phone you tomorrow. i got to sing and a guy gave me his card! xxx
0,ok u can take me shopping when u get paid =d
0,wat r u doing now?
0,sorry about that this is my mates phone and i didnt write it love kate
1,private! your 2003 account statement for shows 800 un-redeemed s. i. m. points. call 08718738002 identifier code: 48922 expires 21/11/04
0,aight should i just plan to come up later tonight?
0,wishing you a wonderful week.
0,we regret to inform u that the nhs has made a mistake.u were never actually born.please report 2 yor local hospital 2b terminated.we r sorry 4 the inconvenience
0,just wait till end of march when el nino gets himself. oh.
0,once free call me sir. i am waiting for you.
0,dai  &lt;#&gt;  naal eruku.
0,gud ni8.swt drms.take care
0,"christmas is an occasion that is celebrated as a reflection of ur... values..., desires..., affections...&amp; traditions.... have an ideal christmas..."
0,prof: you have passed in all the papers in this sem congrats . . . . student: enna kalaachutaarama..!! prof:???? gud mrng!
0,no da. i am happy that we sit together na
1,natalja (25/f) is inviting you to be her friend. reply yes-440 or no-440 see her: www.sms.ac/u/nat27081980 stop? send stop frnd to 62468
0,"i don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough …"
0,yun buying... but school got offer 2000 plus only...
0,sweet heart how are you?
0,oh just getting even with u.... u?
0,s.this will increase the chance of winning.
0,are you in town? this is v. important
0,wow v v impressed. have funs shopping!
0,oh k.k..where did you take test?
0,"i can't right this second, gotta hit people up first"
0,unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. we should try to go out one of th
0,"well imma definitely need to restock before thanksgiving, i'll let you know when i'm out"
0,in da car park
0,"babe, i'm answering you, can't you see me ? maybe you'd better reboot ym ... i got the photo ... it's great !"
0,oh ho. is this the first time u use these type of words
0,got it..mail panren paru..
0,k.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1
0,i am not at all happy with what you saying or doing
0,i also thk too fast... xy suggest one not me. u dun wan it's ok. going 2 rain leh where got gd.
0,"ok that would b lovely, if u r sure. think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... up to u! wot about ?"
0,i'm in chennai velachery:)
0,"nothing really, just making sure everybody's up to speed"
0,yup...
0,should i head straight there or what
0,hi darlin im missin u hope you are having a good time. when are u back and what time if u can give me a call at home. jess xx
0,but your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . pa.
0,"fair enough, anything going on?"
0,meeting u is my work. . . tel me when shall i do my work tomorrow
0,"good afternoon, my love. it was good to see your words on ym and get your tm. very smart move, my slave ... *smiles* ... i drink my coffee and await you."
0,what today-sunday..sunday is holiday..so no work..
0,is your hamster dead? hey so tmr i meet you at 1pm orchard mrt?
0,i was at bugis juz now wat... but now i'm walking home oredi... ü so late then reply... i oso saw a top dat i like but din buy... where r ü now?
0,"as usual..iam fine, happy &amp; doing well..:)"
0,ok thanx...
0,yep get with the program. you're slacking.
0,hi darlin how was work did u get into trouble? ijust talked to your mum all morning! i had a really good time last night im goin out soon but call me if u can
0,thank u!
0,"fuuuuck i need to stop sleepin, sup"
0,yup i thk so until e shop closes lor.
0,"call me, i am senthil from hsbc."
0,my sister cleared two round in birla soft yesterday.
0,i'm home.
0,you'll never believe this but i have actually got off at taunton. wow
1,2p per min to call germany 08448350055 from your bt line. just 2p per min. check planettalkinstant.com for info & t's & c's. text stop to opt out
0,check with nuerologist.
0,stupid.its not possible
0,yup but not studying surfing lor. i'm in e lazy mode today.
0,did u got that persons story
0,i'm gonna say no. sorry. i would but as normal am starting to panic about time. sorry again! are you seeing on tuesday?
0,"k, fyi i'm back in my parents' place in south tampa so i might need to do the deal somewhere else"
0,we're finally ready fyi
0,"sir, i need axis bank account no and bank address."
0,how much for an eighth?
0,we confirm eating at esplanade?
0,no. on the way home. so if not for the long dry spell the season would have been over
0,* was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train
0,then what about further plan?
0,tmr then ü brin lar... aiya later i come n c lar... mayb ü neva set properly ü got da help sheet wif ü...
0,ok thanx...
0,u definitely need a module from e humanities dis sem izzit? u wan 2 take other modules 1st?
0,"dad wanted to talk about the apartment so i got a late start, omw now"
0,whos this am in class:-)
0,oh god. i'm gonna google nearby cliffs now.
0,nope. i just forgot. will show next week
0,"i'll text carlos and let you know, hang on"
0,am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
0,nothing just getting msgs by dis name wit different no's..
0,"solve d case : a man was found murdered on  &lt;decimal&gt; . &lt;#&gt;  afternoon. 1,his wife called police. 2,police questioned everyone. 3,wife: sir,i was sleeping, when the murder took place. 4.cook: i was cooking. 5.gardener: i was picking vegetables. 6.house-maid: i went 2 d post office. 7.children: we went 2 play. 8.neighbour: we went 2 a marriage. police arrested d murderer immediately. who's it? reply with reason, if u r brilliant."
0,oh k.i think most of wi and nz players unsold.
0,u sick still can go shopping?
0,i have a rather prominent bite mark on my right cheek
0,"dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
0,yeah but which is worse for i
0,ok.ok ok..then..whats ur todays plan
0,u attend ur driving lesson how many times a wk n which day?
0,"thanx 4 the time weve spent 2geva, its bin mint! ur my baby and all i want is u!xxxx"
0,i just saw ron burgundy captaining a party boat so yeah
0,ummma.will call after check in.our life will begin from qatar so pls pray very hard.
0,aight do you still want to get money
0,you want to go?
0,are you available for soiree on june 3rd?
0,are you staying in town ?
0,so that means you still think of teju
0,"sir, good morning. hope you had a good weekend. i called to let you know that i was able to raise  &lt;#&gt;  from my dad. he however said he would make the rest available by mid feb. this amount is still quite short and i was hoping you would help. do have a good day. abiola"
1,"final chance! claim ur £150 worth of discount vouchers today! text yes to 85023 now! savamob, member offers mobile! t cs savamob pobox84, m263uz. £3.00 subs 16"
0,"that's what i love to hear :v see you sundayish, then"
0,ok i'm waliking ard now... do u wan me 2 buy anything go ur house?
0,yeah that's the impression i got
0,am going to take bath ill place the key in window:-)
1,great new offer - double mins & double txt on best orange tariffs and get latest camera phones 4 free! call mobileupd8 free on 08000839402 now! or 2stoptxt t&cs
0,wish u many many returns of the day.. happy birthday vikky..
0,where are you call me.
0,is that what time you want me to come?
0,you in your room? i need a few
0,"sorry man my account's dry or i would, if you want we could trade back half or i could buy some shit with my credit card"
0,tessy..pls do me a favor. pls convey my birthday wishes to nimya..pls dnt forget it. today is her birthday shijas
0,"goodmorning, today i am late for 1hr."
0,no. but we'll do medical missions to nigeria
0,anyway holla at me whenever you're around because i need an excuse to go creep on people in sarasota
0,"fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
0,i dont know what to do to come out of this so only am ask questions like this dont mistake me.
0,infact happy new year. how are you where are you when are we seeing
0,i'm in inside office..still filling forms.don know when they leave me.
0,"sorry, i'll call later"
0,no. its not specialisation. can work but its slave labor. will look for it this month sha cos no shakara 4 beggar.
0,text her. if she doesnt reply let me know so i can have her log in
1,moby pub quiz.win a £100 high street prize if u know who the new duchess of cornwall will be? txt her first name to 82277.unsub stop £1.50 008704050406 sp arrow
0,they finally came to fix the ceiling.
0,hi di is yijue we're meeting at 7 pm at esaplanade tonight.
1,message important information for o2 user. today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you
0,you're gonna have to be way more specific than that
0,"hey there babe, how u doin? wot u up 2 2nite love annie x."
0,i dun believe u. i thk u told him.
1,"new mobiles from 2004, must go! txt: nokia to no: 89545 & collect yours today! from only £1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 txtauction."
0,"if you're still up, maybe leave the credit card so i can get gas when i get back like he told me to"
0,cthen i thk shd b enuff.. still got conclusion n contents pg n references.. i'll b doing da contents pg n cover pg..
1,"hi babe its chloe, how r u? i was smashed on saturday night, it was great! how was your weekend? u been missing me? sp visionsms.com text stop to stop 150p/text"
0,yes :)it completely in out of form:)clark also utter waste.
0,"sorry, i'll call later"
0,hi i won't b ard 4 christmas. but do enjoy n merry x'mas.
0,yo im right by yo work
0,"chile, please! it's only a  &lt;decimal&gt;  hour drive for me. i come down all the time and will be subletting feb-april for audition season."
0,u having lunch alone? i now so bored...
0,i know! grumpy old people. my mom was like you better not be lying. then again i am always the one to play jokes...
0,he is there. you call and meet him
0,re your call; you didn't see my facebook huh?
0,what time do u get out?
0,my house here e sky quite dark liao... if raining then got excuse not 2 run already rite... hee...
0,host-based idps for linux systems.
0,god created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. now plz dont ask y he created so much gap between legs !!!
0,sorry for the delay. yes masters
0,"k, i might come by tonight then if my class lets out early"
0,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
0,er yep sure. props?
1,"this is the 2nd time we have tried 2 contact u. u have won the £750 pound prize. 2 claim is easy, call 087187272008 now1! only 10p per minute. bt-national-rate."
0,"finally it has happened..! aftr decades..! beer is now cheaper than petrol! the goverment expects us to ""drink"". . . but don't ""drive """
0,i wish things were different. i wonder when i will be able to show you how much i value you. pls continue the brisk walks no drugs without askin me please and find things to laugh about. i love you dearly.
0,mm have some kanji dont eat anything heavy ok
0,eh u send wrongly lar...
0,"when people see my msgs, they think iam addicted to msging... they are wrong, bcoz they don\'t know that iam addicted to my sweet friends..!! bslvyl"
0,if you're thinking of lifting me one then no.
0,i want to grasp your pretty booty :)
0,"all done, all handed in. don't know if mega shop in asda counts as celebration but thats what i'm doing!"
1,urgent please call 09066612661 from landline. £5000 cash or a luxury 4* canary islands holiday await collection. t&cs sae award. 20m12aq. 150ppm. 16+ “
0,pansy! you've been living in a jungle for two years! its my driving you should be more worried about!
0,"no i'm not. i can't give you everything you want and need. you actually could do better for yourself on yor own--you've got more money than i do. i can't get work, i can't get a man, i can't pay the rent, i can't even fill my fucking gas tank. yes, i'm stressed and depressed. i didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing."
0,so lets make it saturday or monday as per convenience.
0,great. p diddy is my neighbor and comes for toothpaste every morning
0,will you like to be spoiled? :)
0,no that just means you have a fat head
0,i wanna watch that movie
0,"do you know why god created gap between your fingers..? so that, one who is made for you comes &amp; fills those gaps by holding your hand with love..!"
0,"sorry, went to bed early, nightnight"
0,"wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
0,i've been searching for the right words to thank you for this breather. i promise i wont take your help for granted and will fulfil my promise. you have been wonderful and a blessing at all times.
1,sunshine quiz wkly q! win a top sony dvd player if u know which country the algarve is in? txt ansr to 82277. £1.50 sp:tyrone
0,no we sell it all so we'll have tons if coins. then sell our coins to someone thru paypal. voila! money back in life pockets:)
0,i wait 4 ü inside da car park...
0,probably earlier than that if the station's where i think it is
0,but i'm surprised she still can guess right lor...
0,its sunny in california. the weather's just cool
0,did you stitch his trouser
0,i am on the way to ur home
0,"hello.how u doing?what u been up 2?when will u b moving out of the flat, cos i will need to arrange to pick up the lamp, etc. take care. hello caroline!"
0,i anything lor...
0,yetunde i'm in class can you not run water on it to make it ok. pls now.
0,congratulations ore mo owo re wa. enjoy it and i wish you many happy moments to and fro wherever you go
0,hasn't that been the pattern recently crap weekends?
0,"dont worry, 1 day very big lambu ji vl come..til then enjoy batchlor party:-)"
0,"he will, you guys close?"
0,to day class is there are no class.
0,reading gud habit.. nan bari hudgi yorge pataistha ertini kano:-)
0,lol no. i just need to cash in my nitros. hurry come on before i crash out!
0,what should i eat fo lunch senor
0,ok. i am a gentleman and will treat you with dignity and respect.
0,i think its far more than that but find out. check google maps for a place from your dorm.
1,"for ur chance to win a £250 cash every wk txt: action to 80608. t's&c's www.movietrivia.tv custcare 08712405022, 1x150p/wk"
0,ok. how many should i buy.
0,what i told before i tell. stupid hear after i wont tell anything to you. you dad called to my brother and spoken. not with me.
0,oi when you gonna ring
0,please don't text me anymore. i have nothing else to say.
0,"i can't keep going through this. it was never my intention to run you out, but if you choose to do that rather than keep the room clean so *i* don't have to say no to visitors, then maybe that's the best choice. yes, i wanted you to be embarassed, so maybe you'd feel for once how i feel when i have a friend who wants to drop buy and i have to say no, as happened this morning. i've tried everything. i don't know what else to do."
0,i hate when she does this. she turns what should be a fun shopping trip into an annoying day of how everything would look in her house.
0,i was slept that time.you there?
0,nobody names their penis a girls name this story doesn't add up at all
0,huh but i cant go 2 ur house empty handed right?
0,wish i were with you now!
0,yun ah.now ü wkg where?btw if ü go nus sc. ü wana specialise in wad?
0,s...i will take mokka players only:)
1,"urgent! your mobile no 07808726822 was awarded a £2,000 bonus caller prize on 02/09/03! this is our 2nd attempt to contact you! call 0871-872-9758 box95qu"
0,this phone has the weirdest auto correct.
1,you are chosen to receive a £350 award! pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.
0,wot u up 2? thout u were gonna call me!! txt bak luv k
0,"one of best dialogue in cute reltnship..!! ""wen i die, dont come near my body..!! bcoz my hands may not come 2 wipe ur tears off that time..!gud ni8"
0,"storming msg: wen u lift d phne, u say ""hello"" do u knw wt is d real meaning of hello?? . . . it's d name of a girl..! . . . yes.. and u knw who is dat girl?? ""margaret hello"" she is d girlfrnd f grahmbell who invnted telphone... . . . . moral:one can 4get d name of a person, bt not his girlfrnd... g o o d n i g h t . . .@"
0,"goodmorning, today i am late for  &lt;decimal&gt; min."
0,i'm home. doc gave me pain meds says everything is fine.
0,oh oh... wasted... den muz chiong on sat n sun liao...
0,this weekend is fine (an excuse not to do too much decorating)
1,"urgent! please call 09066612661 from your landline, your complimentary 4* lux costa del sol holiday or £1000 cash await collection. ppm 150 sae t&cs james 28, eh74rr"
1,"you have won ?1,000 cash or a ?2,000 prize! to claim, call09050000327. t&c: rstm, sw7 3ss. 150ppm"
1,u are subscribed to the best mobile content service in the uk for £3 per 10 days until you send stop to 82324. helpline 08706091795
0,i have had two more letters from . i will copy them for you cos one has a message for you. speak soon
1,4mths half price orange line rental & latest camera phones 4 free. had your phone 11mths+? call mobilesdirect free on 08000938767 to update now! or2stoptxt t&cs
0,so u workin overtime nigpun?
0,what class of  &lt;#&gt;  reunion?
0,"hey , is * rite u put »10 evey mnth is that all?"
0,i meant middle left or right?
1,you have won a guaranteed £1000 cash or a £2000 prize. to claim yr prize call our customer service representative on 08714712394 between 10am-7pm
1,"hot live fantasies call now 08707509020 just 20p per min ntt ltd, po box 1327 croydon cr9 5wb 0870 is a national rate call"
0,if you ask her or she say any please message.
0,"gumby's has a special where a  &lt;#&gt; "" cheese pizza is $2 so i know what we're doin tonight"
